Disease,Symptoms
Eczema,Blisters;Redness;Cracked skin
Eczema,Itchy skin;Blisters;Dry patches
Moles,Multicolored moles;Dark spots;Itchy moles;Raised moles
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Acne,Inflamed skin;Oily skin
Infestations/Bites,Visible bites;Swollen red spots;Lice;Itchy rash;Wheals
Benign Tumors,Flesh-colored bumps;Non-cancerous growths
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Actinic Keratosis,"Sun damage;Red or brown spots;Itchy spots;Dry, scaly patches;Crusting"
Candidiasis,"Red, sore skin;White patches;Flaky skin;Itchy rash"
Benign Tumors,Soft lumps;Non-cancerous growths
Vasculitis,Rash;Red or purple patches;Swollen blood vessels;Fever
Lupus,Scaly skin;Butterfly-shaped rash;Mouth sores;Sensitivity to sunlight
Skin Cancer,Asymmetrical growth;Irregular borders
Infestations/Bites,Itchy rash;Swollen red spots;Wheals;Visible bites;Lice
Lupus,Scaly skin;Red patches
Eczema,Cracked skin;Dry patches;Redness
Candidiasis,"White patches;Swollen skin;Red, sore skin;Itchy rash"
Vascular Tumors,Visible blood vessels;Swelling;Red or purple spots;Painful nodules
Vitiligo,Irregular skin color;Lightened skin;White patches;Loss of pigmentation
Vascular Tumors,Red or purple spots;Visible blood vessels;Swelling;Painful nodules
Psoriasis,Dry cracked skin;Red skin;Itchy patches
Moles,Dark spots;Itchy moles
Tinea,"Red, ring-shaped rash;Burning sensation;Blisters;Peeling skin;Itchy rash"
Tinea,Itchy rash;Burning sensation
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Rosacea,Visible blood vessels;Eye irritation;Burning sensation;Pimple-like bumps;Redness
Actinic Keratosis,"Red or brown spots;Crusting;Itchy spots;Dry, scaly patches"
Skin Cancer,New growths;Bleeding lesions;Asymmetrical growth;Irregular borders
Rosacea,Eye irritation;Pimple-like bumps;Redness;Visible blood vessels
Vitiligo,White patches;Loss of pigmentation
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Psoriasis,Itchy patches;Dry cracked skin;Scaly skin
Drug Eruption,Fever;Itching;Hives
Vitiligo,White patches;Lightened skin
Eczema,Dry patches;Redness;Itchy skin;Swollen skin
Warts,Itchy warts;Rough texture
Sun/Sunlight Damage,Wrinkles;Dark spots
Warts,Hard lumps;Bumps on skin;Itchy warts;Rough texture
Benign Tumors,Flesh-colored bumps;Soft lumps
Sun/Sunlight Damage,Freckles;Sunburn;Dark spots;Wrinkles;Rough patches
Vasculitis,Rash;Swollen blood vessels;Skin sores;Red or purple patches
Acne,Pimples;Whiteheads;Cystic acne;Oily skin;Blackheads
Eczema,Cracked skin;Blisters;Swollen skin;Itchy skin
Moles,Itchy moles;Raised moles;Multicolored moles;Dark spots;Irregular border
Unknown/Normal Variants,No symptoms;Normal pigmentation
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Rosacea,Eye irritation;Visible blood vessels
Vasculitis,Swollen blood vessels;Skin sores;Fever;Rash;Red or purple patches
Vitiligo,Irregular skin color;Lightened skin;Loss of pigmentation
Vascular Tumors,Red or purple spots;Painful nodules;Swelling
Psoriasis,Scaly skin;Thickened nails;Red skin;Dry cracked skin
Vasculitis,Rash;Red or purple patches;Swollen blood vessels;Skin sores
Sun/Sunlight Damage,Sunburn;Freckles;Wrinkles;Rough patches
Infestations/Bites,Visible bites;Itchy rash;Swollen red spots;Wheals;Lice
Vascular Tumors,Red or purple spots;Painful nodules
Rosacea,Redness;Eye irritation;Burning sensation;Pimple-like bumps
Sun/Sunlight Damage,Rough patches;Sunburn;Freckles;Wrinkles
Sun/Sunlight Damage,Dark spots;Sunburn;Freckles;Wrinkles
Lupus,Scaly skin;Mouth sores
Unknown/Normal Variants,Minor blemishes;No symptoms
Vitiligo,Lightened skin;White patches
Candidiasis,"Flaky skin;White patches;Red, sore skin"
Lupus,Red patches;Mouth sores;Scaly skin;Sensitivity to sunlight
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Psoriasis,Red skin;Scaly skin
Rosacea,Redness;Pimple-like bumps;Burning sensation
Vitiligo,Lightened skin;Loss of pigmentation
Infestations/Bites,Itchy rash;Visible bites;Lice
Lichen Planus,White lines;Inflammation
Acne,Blackheads;Inflamed skin;Oily skin;Cystic acne;Pimples
Vasculitis,Skin sores;Fever
Rosacea,Burning sensation;Pimple-like bumps
Benign Tumors,Flesh-colored bumps;Non-cancerous growths
Skin Cancer,Asymmetrical growth;Irregular borders;Changes in existing moles
Rosacea,Burning sensation;Pimple-like bumps
Moles,Multicolored moles;Raised moles
Eczema,Dry patches;Redness;Swollen skin;Cracked skin;Blisters
Lupus,Butterfly-shaped rash;Scaly skin
Warts,Raised growths;Rough texture;Itchy warts;Bumps on skin
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Tinea,Peeling skin;Blisters
Eczema,Redness;Dry patches
Psoriasis,Itchy patches;Thickened nails;Dry cracked skin;Red skin
Psoriasis,Itchy patches;Red skin;Dry cracked skin;Thickened nails;Scaly skin
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Vasculitis,Skin sores;Red or purple patches;Rash
Skin Cancer,Bleeding lesions;Irregular borders;Asymmetrical growth;New growths
Infestations/Bites,Lice;Swollen red spots;Itchy rash;Visible bites
Moles,Raised moles;Dark spots;Irregular border;Itchy moles
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Actinic Keratosis,Sun damage;Itchy spots;Crusting;Red or brown spots
Rosacea,Burning sensation;Eye irritation
Moles,Raised moles;Irregular border
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Actinic Keratosis,"Crusting;Itchy spots;Red or brown spots;Dry, scaly patches;Sun damage"
Benign Tumors,Soft lumps;Flesh-colored bumps
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Tinea,"Itchy rash;Red, ring-shaped rash;Blisters;Burning sensation"
Vasculitis,Rash;Skin sores;Swollen blood vessels;Red or purple patches;Fever
Rosacea,Visible blood vessels;Burning sensation;Pimple-like bumps;Eye irritation
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Sun/Sunlight Damage,Rough patches;Sunburn;Dark spots
Sun/Sunlight Damage,Wrinkles;Dark spots
Lupus,Scaly skin;Mouth sores
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Acne,Cystic acne;Whiteheads;Inflamed skin;Oily skin
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Lichen Planus,Purple flat-topped bumps;Inflammation;Itchy lesions;White lines
Warts,Itchy warts;Rough texture;Hard lumps;Raised growths
Lupus,Red patches;Sensitivity to sunlight;Scaly skin;Mouth sores;Butterfly-shaped rash
Vasculitis,Fever;Skin sores;Swollen blood vessels
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Lupus,Red patches;Sensitivity to sunlight;Mouth sores
Vasculitis,Rash;Swollen blood vessels;Red or purple patches;Fever
Actinic Keratosis,"Red or brown spots;Dry, scaly patches;Sun damage"
Moles,Raised moles;Multicolored moles;Irregular border
Vasculitis,Red or purple patches;Fever
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Infestations/Bites,Visible bites;Itchy rash;Wheals
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Tinea,"Peeling skin;Burning sensation;Itchy rash;Blisters;Red, ring-shaped rash"
Tinea,Burning sensation;Itchy rash
Drug Eruption,Itching;Rash;Red spots;Hives
Psoriasis,Dry cracked skin;Scaly skin;Thickened nails;Red skin;Itchy patches
Moles,Raised moles;Irregular border;Multicolored moles;Dark spots
Psoriasis,Thickened nails;Scaly skin;Red skin;Itchy patches
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Lupus,Red patches;Butterfly-shaped rash
Vasculitis,Skin sores;Fever;Swollen blood vessels;Rash
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Sun/Sunlight Damage,Rough patches;Sunburn;Wrinkles
Tinea,"Red, ring-shaped rash;Peeling skin"
Eczema,Dry patches;Itchy skin
Lupus,Scaly skin;Butterfly-shaped rash;Sensitivity to sunlight;Red patches;Mouth sores
Vitiligo,Loss of pigmentation;Lightened skin;White patches
Eczema,Cracked skin;Redness;Itchy skin
Acne,Pimples;Oily skin
Skin Cancer,Asymmetrical growth;Changes in existing moles;Irregular borders;New growths
Bullous Disorders,Itchy blisters;Painful blisters
Bullous Disorders,Itchy blisters;Painful blisters
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Vitiligo,Lightened skin;White patches
Rosacea,Visible blood vessels;Burning sensation;Redness
Vascular Tumors,Swelling;Red or purple spots;Visible blood vessels
Warts,Itchy warts;Rough texture;Raised growths;Bumps on skin;Hard lumps
Warts,Rough texture;Itchy warts
Eczema,Swollen skin;Blisters
Infestations/Bites,Visible bites;Itchy rash;Wheals
Drug Eruption,Fever;Hives;Rash
Actinic Keratosis,Red or brown spots;Crusting;Sun damage
Sun/Sunlight Damage,Sunburn;Freckles
Sun/Sunlight Damage,Rough patches;Wrinkles
Drug Eruption,Rash;Swelling
Lichen Planus,White lines;Inflammation;Purple flat-topped bumps
Lichen Planus,Itchy lesions;Purple flat-topped bumps
Tinea,"Peeling skin;Red, ring-shaped rash"
Rosacea,Eye irritation;Pimple-like bumps;Redness;Visible blood vessels
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Drug Eruption,Swelling;Rash;Fever;Itching;Red spots
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Unknown/Normal Variants,No symptoms;Minor blemishes
Moles,Itchy moles;Dark spots
Unknown/Normal Variants,Minor blemishes;No symptoms
Warts,Bumps on skin;Rough texture;Itchy warts;Hard lumps;Raised growths
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Actinic Keratosis,"Dry, scaly patches;Crusting;Itchy spots;Sun damage;Red or brown spots"
Warts,Raised growths;Hard lumps
Moles,Multicolored moles;Irregular border;Raised moles;Dark spots
Skin Cancer,New growths;Changes in existing moles;Asymmetrical growth;Bleeding lesions
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Vascular Tumors,Red or purple spots;Visible blood vessels;Swelling
Warts,Raised growths;Itchy warts;Hard lumps;Bumps on skin;Rough texture
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Tinea,"Blisters;Burning sensation;Itchy rash;Peeling skin;Red, ring-shaped rash"
Acne,Cystic acne;Pimples
Lichen Planus,Itchy lesions;White lines
Sun/Sunlight Damage,Wrinkles;Freckles
Vitiligo,White patches;Loss of pigmentation;Irregular skin color
Moles,Dark spots;Itchy moles;Raised moles;Irregular border
Acne,Oily skin;Inflamed skin;Cystic acne;Whiteheads
Infestations/Bites,Lice;Swollen red spots
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Infestations/Bites,Wheals;Lice;Visible bites;Swollen red spots;Itchy rash
Lupus,Scaly skin;Mouth sores;Butterfly-shaped rash
Lupus,Sensitivity to sunlight;Butterfly-shaped rash;Red patches;Mouth sores
Warts,Hard lumps;Raised growths
Vitiligo,Loss of pigmentation;White patches;Lightened skin;Irregular skin color
Drug Eruption,Red spots;Rash
Infestations/Bites,Itchy rash;Wheals;Lice;Swollen red spots
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Eczema,Redness;Swollen skin
Psoriasis,Thickened nails;Scaly skin;Itchy patches;Red skin;Dry cracked skin
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Lupus,Sensitivity to sunlight;Red patches;Mouth sores;Scaly skin
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Candidiasis,"Itchy rash;White patches;Flaky skin;Swollen skin;Red, sore skin"
Moles,Raised moles;Irregular border
Vitiligo,White patches;Irregular skin color
Bullous Disorders,Painful blisters;Itchy blisters
Lichen Planus,Inflammation;White lines
Vascular Tumors,Swelling;Painful nodules;Visible blood vessels
Drug Eruption,Swelling;Fever;Rash;Red spots
Skin Cancer,New growths;Asymmetrical growth;Bleeding lesions;Changes in existing moles;Irregular borders
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Sun/Sunlight Damage,Wrinkles;Dark spots;Rough patches
Lupus,Red patches;Butterfly-shaped rash;Scaly skin;Sensitivity to sunlight
Tinea,"Peeling skin;Red, ring-shaped rash;Burning sensation"
Tinea,"Red, ring-shaped rash;Blisters;Burning sensation;Peeling skin"
Warts,Itchy warts;Rough texture;Bumps on skin;Hard lumps;Raised growths
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules
Eczema,Swollen skin;Dry patches;Blisters;Itchy skin;Cracked skin
Moles,Irregular border;Raised moles
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Warts,Itchy warts;Raised growths;Bumps on skin;Hard lumps;Rough texture
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Lichen Planus,Itchy lesions;Purple flat-topped bumps;White lines;Inflammation
Candidiasis,"Flaky skin;Red, sore skin;Swollen skin;White patches;Itchy rash"
Vitiligo,Loss of pigmentation;White patches
Actinic Keratosis,Itchy spots;Sun damage
Eczema,Blisters;Cracked skin;Dry patches
Lichen Planus,Itchy lesions;White lines;Inflammation
Sun/Sunlight Damage,Freckles;Sunburn;Dark spots;Rough patches;Wrinkles
Rosacea,Redness;Burning sensation;Visible blood vessels
Sun/Sunlight Damage,Rough patches;Freckles;Dark spots;Sunburn
Lichen Planus,Itchy lesions;White lines
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Vascular Tumors,Red or purple spots;Painful nodules;Swelling
Skin Cancer,Changes in existing moles;Irregular borders;Asymmetrical growth;Bleeding lesions;New growths
Infestations/Bites,Lice;Swollen red spots;Itchy rash;Visible bites;Wheals
Warts,Bumps on skin;Rough texture;Raised growths
Tinea,Burning sensation;Peeling skin;Blisters
Moles,Multicolored moles;Irregular border;Raised moles
Skin Cancer,Changes in existing moles;New growths
Vasculitis,Skin sores;Fever;Swollen blood vessels;Rash
Warts,Bumps on skin;Hard lumps;Itchy warts
Drug Eruption,Swelling;Hives;Red spots;Rash
Unknown/Normal Variants,No symptoms;Minor blemishes
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Actinic Keratosis,"Sun damage;Red or brown spots;Dry, scaly patches;Itchy spots"
Sun/Sunlight Damage,Sunburn;Dark spots;Rough patches;Wrinkles;Freckles
Acne,Inflamed skin;Pimples;Oily skin;Whiteheads;Blackheads
Psoriasis,Itchy patches;Thickened nails;Dry cracked skin
Rosacea,Eye irritation;Visible blood vessels;Redness;Burning sensation
Acne,Whiteheads;Inflamed skin;Oily skin;Blackheads
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Tinea,"Red, ring-shaped rash;Blisters;Peeling skin;Burning sensation;Itchy rash"
Actinic Keratosis,"Crusting;Red or brown spots;Dry, scaly patches"
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Skin Cancer,Irregular borders;Bleeding lesions
Infestations/Bites,Lice;Wheals;Itchy rash
Lichen Planus,Purple flat-topped bumps;Inflammation;White lines;Itchy lesions
Eczema,Itchy skin;Dry patches
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Actinic Keratosis,"Itchy spots;Dry, scaly patches;Crusting;Red or brown spots"
Vasculitis,Skin sores;Rash;Swollen blood vessels
Moles,Raised moles;Multicolored moles;Dark spots;Itchy moles
Bullous Disorders,Painful blisters;Itchy blisters
Actinic Keratosis,"Dry, scaly patches;Sun damage"
Eczema,Cracked skin;Redness
Sun/Sunlight Damage,Rough patches;Freckles
Lichen Planus,White lines;Inflammation
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Red patches;Mouth sores;Scaly skin
Infestations/Bites,Itchy rash;Swollen red spots;Visible bites;Wheals
Vasculitis,Skin sores;Swollen blood vessels;Fever
Sun/Sunlight Damage,Freckles;Sunburn;Dark spots
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Eczema,Itchy skin;Swollen skin
Eczema,Itchy skin;Redness;Swollen skin;Cracked skin;Dry patches
Actinic Keratosis,Crusting;Red or brown spots;Itchy spots
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Psoriasis,Itchy patches;Dry cracked skin
Drug Eruption,Fever;Swelling
Lichen Planus,Purple flat-topped bumps;White lines;Itchy lesions;Inflammation
Vasculitis,Fever;Swollen blood vessels;Rash;Skin sores;Red or purple patches
Candidiasis,"Swollen skin;Flaky skin;Itchy rash;Red, sore skin"
Acne,Whiteheads;Oily skin;Blackheads
Benign Tumors,Flesh-colored bumps;Soft lumps
Unknown/Normal Variants,No symptoms;Minor blemishes
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Infestations/Bites,Wheals;Lice;Itchy rash;Visible bites;Swollen red spots
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Skin Cancer,Changes in existing moles;Asymmetrical growth;New growths;Irregular borders;Bleeding lesions
Warts,Itchy warts;Raised growths;Rough texture;Bumps on skin
Drug Eruption,Itching;Hives;Rash
Vascular Tumors,Visible blood vessels;Red or purple spots
Infestations/Bites,Wheals;Lice;Itchy rash;Visible bites;Swollen red spots
Lupus,Sensitivity to sunlight;Mouth sores;Butterfly-shaped rash;Red patches;Scaly skin
